State,Fatal crashes
Alabama,948
Alaska,79
Arizona,1000
Arkansas,493
California,3602
Colorado,648
Connecticut,278
Delaware,119
Florida,3112
Georgia,1540
Hawaii,107
Idaho,244
Illinois,1097
Indiana,914
Iowa,330
Kansas,461
Kentucky,782
Louisiana,760
Maine,172
Maryland,550
Massachusetts,350
Michigan,1030
Minnesota,357
Mississippi,690
Missouri,930
Montana,186
Nebraska,228
Nevada,309
NewHampshire,102
NewJersey,624
NewMexico,379
NewYork,999
NorthCarolina,1412
NorthDakota,115
Ohio,1179
Oklahoma,655
Oregon,437
Pennsylvania,1137
RhodeIsland,83
SouthCarolina,988
SouthDakota,129
Tennessee,1040
Texas,3722
Utah,273
Vermont,69
Virginia,839
Washington,565
WestVirginia,303
Wisconsin,613
Wyoming,123