State,deaths,fatalCrashes,Pop
Texas,3642,3305,29472300
California,3563,3259,39937500
Florida,3133,2915,21993000
Georgia,1504,1407,10736100
NorthCarolina,1437,1321,10611900
Pennsylvania,1190,1103,12820900
Ohio,1068,996,11747700
Tennessee,1041,974,6897580
SouthCarolina,1037,970,5210100
Illinois,1031,948,12659700
Arizona,1010,916,7378490
Michigan,974,905,10045000
NewYork,943,889,19440500
Alabama,953,876,4908620
Missouri,921,848,6169270
Virginia,820,778,8626210
Indiana,858,774,6745350
Louisiana,768,716,4645180
Kentucky,724,664,4499690
Oklahoma,655,603,3954820
Mississippi,664,597,2989260
Colorado,632,588,5845530
Wisconsin,588,530,5851750
NewJersey,564,525,8936570
Washington,546,497,7797100
Maryland,501,474,6083120
Arkansas,516,472,3039000
Oregon,506,450,4301090
Kansas,404,366,2910360
NewMexico,391,350,2096640
Minnesota,381,349,5700670
Massachusetts,360,343,6976600
Nevada,330,300,3139660
Iowa,318,291,3179850
Connecticut,294,276,3563080
WestVirginia,294,265,1778070
Utah,260,237,3282120
Idaho,231,212,1826160
Nebraska,230,201,1952570
Montana,182,168,1086760
NewHampshire,147,134,1371250
Maine,137,128,1345790
SouthDakota,130,110,903027
Hawaii,117,110,1412690
Delaware,111,104,982895
Wyoming,111,100,567025
NorthDakota,105,95,761723
Alaska,80,69,734002
Vermont,68,60,628061
RhodeIsland,59,56,1056160